period,segment,capex_mn
1T17,Total,23.0
2T17,Total,34.0
3T17,Total,52.0
4T17,Total,107.0
1T18,Total,65.0
2T18,Total,67.0
3T18,Total,90.0
4T18,Total,241.0
1T19,Total,89.0
2T19,Total,105.0
3T19,Total,140.0
4T19,Total,356.0
1T20,Total,182.0
2T20,Total,193.0
3T20,Total,179.0
4T20,Total,245.0
1T21,Total,239.0
2T21,Total,335.0
3T21,Total,305.0
4T21,Total,604.71230908
1T22,Total,284.947
2T22,Total,428.1572584800001
3T22,Total,604.4949888399999
4T22,Total,866.86271347
1T23,Total,580.46555599
2T23,Total,878.886
3T23,Total,886.2178509800001
4T23,Total,654.0
1T24,Total,268.16377976
2T24,Total,231.124
3T24,Total,201.628
4T24,Total,381.63676825
1T25,Total,219.0
2T25,Total,333.84153554
3T25,Total,265.61179411999996
4T25,Total,372.46132462
1T26,Total,285.14
2T26,Total,323.307
1T17,Total,981.0
2T17,Total,1110.0
3T17,Total,784.0
4T17,Total,225.0
1T18,Total,216.0
2T18,Total,463.0
3T18,Total,690.0
4T18,Total,799.0
1T19,Total,1483.28859689
2T19,Total,2184.46205564
3T19,Total,3000.0
4T19,Total,1082.55254801
1T20,Total,1476.0546542799998
