period,net_cash_change,investing_cash_flow,financing_cash_flow,operating_cash_flow,operating_cash_before_interest_tax
1T18,-629521.0,205016.0,-939587.0,113134.0,279125.0
2T18,-562490.0,-168954.0,-130507.0,-269275.0,-126627.0
3T18,517782.0,-142932.0,-2302.0,658983.0,829369.0
4T18,10446.0,10970.0,-4411.0,6790.0,139515.0
1T19,-629521.0,-104994.0,-369534.0,530910.0,663458.0
2T19,-662434.0,-232131.0,-198169.0,-231847.0,-75089.0
3T19,407242.0,-307413.0,35248.0,674321.0,807137.0
4T19,346113.0,115532.0,-761956.0,992933.0,1045922.0
1T20,549560.0,-82257.0,-3396.0,517439.0,711858.0
2T20,-123773.0,-428569.0,-66069.0,368910.0,432140.0
3T20,745321.0,-654243.0,-1074.0,1393334.0,1761563.0
4T20,837214.0,-314090.0,-47575.0,1208354.0,1321036.0
1T21,743096.0,826451.0,-50135.0,-6562.0,648902.0
2T21,-256374.0,-1986939.0,-322563.0,2065278.0,2376310.0
3T21,1938739.0,397031.0,-1838.0,1521171.0,2474354.0
4T21,654268.0,437728.0,-1491246.0,1702504.0,1918242.0
1T22,-890755.0,-744584.0,-13096.0,2749.0,1318515.0
2T22,-929739.0,-307288.0,-1058647.0,332003.0,427429.0
3T22,-273647.0,-409259.0,-71679.0,171884.0,432754.0
4T22,-1330829.0,-1879766.0,46912.0,498964.0,588631.0
1T23,1659583.0,318063.0,-12898.0,1364253.0,1609924.0
2T23,-825356.0,-796016.0,-664141.0,673819.0,762007.0
3T23,448310.0,-1198675.0,-37240.0,1646827.0,1778990.0
4T23,456454.0,-324638.0,-87891.0,909562.0,1141894.0
1T24,-284889.0,-279695.0,-12541.0,-30776.0,129665.0
2T24,-154441.0,-242517.0,-367994.0,380745.0,535136.0
3T24,275204.0,-193788.0,11217.0,517723.0,675648.0
4T24,40617.0,-184929.0,-54053.0,121473.0,265802.0
1T25,580137.0,-212060.0,1303425.0,-430680.0,-129302.0
2T25,172484.0,-328791.0,-25900.0,615308.0,799683.0
3T25,-871131.0,-403218.0,-1322848.0,878117.0,1205969.0
4T25,59785.0,-1043007.0,-46585.0,1116699.0,1310420.0
1T26,-429523.0,-458134.0,-48301.0,369639.0,641159.0
2T26,562163.37128,125726.0,-29552.0,357901.37127999996,527304.37128
