period,cost_component,share
4T20,Carvão e coque,0.10953757367893478
1T21,Carvão e coque,0.088704561230608
2T21,Carvão e coque,0.07360676238557011
3T21,Carvão e coque,0.07894655099730954
4T21,Carvão e coque,0.08868724112190704
1T22,Carvão e coque,0.13736749986270785
2T22,Carvão e coque,0.17145856839752732
3T22,Carvão e coque,0.18768848428080498
4T22,Carvão e coque,0.1933485334574541
1T23,Carvão e coque,0.22340275079798802
2T23,Carvão e coque,0.1955024300893902
3T23,Carvão e coque,0.13723814764574482
4T23,Carvão e coque,0.09783303426304936
1T24,Carvão e coque,0.15601248827945802
2T24,Carvão e coque,0.1840123236280823
3T24,Carvão e coque,0.18001932133688836
4T24,Carvão e coque,0.16407650979715793
1T25,Carvão e coque,0.1581750975658554
2T25,Carvão e coque,0.1434015477333467
3T25,Carvão e coque,0.1422998802132735
4T25,Carvão e coque,0.13939130211443182
1T26,Carvão e coque,0.136025785049081
2T26,Carvão e coque,0.14065894662212586
4T20,Depreciação e Ociosidade,0.03626374351107185
1T21,Depreciação e Ociosidade,0.031891310569037726
2T21,Depreciação e Ociosidade,0.02561216078480479
3T21,Depreciação e Ociosidade,0.023292678704396903
4T21,Depreciação e Ociosidade,0.023112109470597615
1T22,Depreciação e Ociosidade,0.02102406681109481
2T22,Depreciação e Ociosidade,0.01481720507665963
3T22,Depreciação e Ociosidade,0.009547897662562347
4T22,Depreciação e Ociosidade,0.007808023840368222
1T23,Depreciação e Ociosidade,0.012116600133190929
2T23,Depreciação e Ociosidade,0.015918163253187033
3T23,Depreciação e Ociosidade,0.016771978643676317
4T23,Depreciação e Ociosidade,0.018220724956842963
1T24,Depreciação e Ociosidade,0.026042194617800867
2T24,Depreciação e Ociosidade,0.028889883418138584
3T24,Depreciação e Ociosidade,0.03063077046083472
4T24,Depreciação e Ociosidade,0.03048293698692364
1T25,Depreciação e Ociosidade,0.03137332545495977
2T25,Depreciação e Ociosidade,0.03147399437591682
3T25,Depreciação e Ociosidade,0.03217301892701134
4T25,Depreciação e Ociosidade,0.03468433919997307
1T26,Depreciação e Ociosidade,0.03112701420791885
2T26,Depreciação e Ociosidade,0.023496182982448575
4T20,Energia e Combustíveis,0.07765803330309609
1T21,Energia e Combustíveis,0.07175315104601947
2T21,Energia e Combustíveis,0.06351801609201294
3T21,Energia e Combustíveis,0.060704876582999626
4T21,Energia e Combustíveis,0.06402281227377542
1T22,Energia e Combustíveis,0.07837642780027414
2T22,Energia e Combustíveis,0.08243668321231776
3T22,Energia e Combustíveis,0.08211253070905576
4T22,Energia e Combustíveis,0.08107133972729152
1T23,Energia e Combustíveis,0.08549936250996847
2T23,Energia e Combustíveis,0.08437581357344262
3T23,Energia e Combustíveis,0.08394202835814608
4T23,Energia e Combustíveis,0.07794937015181626
1T24,Energia e Combustíveis,0.08852861959403968
2T24,Energia e Combustíveis,0.08807291670247396
3T24,Energia e Combustíveis,0.08803346910217538
4T24,Energia e Combustíveis,0.08589040654165171
1T25,Energia e Combustíveis,0.0896640321284205
2T25,Energia e Combustíveis,0.08896951819121444
3T25,Energia e Combustíveis,0.0919358608875887
4T25,Energia e Combustíveis,0.08944961614069767
