date,gross_debt,cash,net_debt
2017-03-31,6879314.0,2415637.0,4463677.0
2017-06-30,6949652.0,1951286.0,4998366.0
2017-09-30,6860395.0,2138050.0,4722345.0
2017-12-31,6656273.0,2314288.0,4341985.0
2018-03-31,5679701.0,1562549.0,4117152.0
2018-06-30,5843248.0,1103612.0,4739636.0
2018-09-30,5892790.0,1681875.0,4210915.0
2018-12-31,5853970.0,1693349.0,4160621.0
2019-03-31,5496051.0,1772792.0,3723259.0
2019-06-30,5465897.0,1245112.0,4220785.0
2019-09-30,5854754.0,1822413.0,4032341.0
2019-12-31,5110552.0,1921141.0,3189411.0
2020-03-31,5930572.0,2373466.0,3557106.0
2020-06-30,6223697.0,2506214.0,3717483.0
2020-09-30,6263800.0,3734302.0,2529498.0
2020-12-31,5972742.0,4868105.0,1104637.0
2021-03-31,6275124.0,4601103.0,1674021.0
2021-06-30,5833041.0,6053313.0,-220272.0
2021-09-30,6082654.0,7293502.0,-1210848.0
2021-12-31,6304042.0,7023549.0,-719507.0
2022-03-31,5555049.0,6604129.0,-1049080.0
2022-06-30,6052146.0,5596689.0,455457.0
2022-09-30,6101858.0,5137298.0,964560.0
2022-12-31,6202279.0,5072361.0,1129918.0
2023-03-31,6120913.0,5836793.0,284120.0
2023-06-30,5905489.0,4940641.0,964848.0
2023-09-30,6073634.0,5720296.0,353338.0
2023-12-31,5921114.0,6009833.0,-88719.0
2024-03-31,6052062.0,5742501.0,309561.0
2024-06-30,6603091.0,5605048.0,998043.0
2025-03-31,7927711.0,6556379.0,1371332.0
2025-06-30,7790271.0,6743961.0,1046310.0
2026-03-31,6300520.0,6691057.0,-390537.0
2026-06-30,6323580.0,6822552.0,-498972.0
