period,cogs,ebitda,adjusted_ebitda,operating_profit,gross_profit,net_income,ebt,gross_margin,ebitda_margin,adjusted_ebitda_margin,net_margin,operating_margin,revenue
1T17,-1870100.0,528095.0,532769.0,221800.0,480700.0,108318.0,167173.0,0.20448358005785264,0.22464480176961035,0.2266330610855879,0.04607708014293006,0.09435085928194657,2350800.0
2T17,-2187300.0,710527.0,749852.0,382000.0,382200.0,175710.0,210632.0,0.1487448920023351,0.277,0.2918279820976844,0.06838295388207823,0.14866705584744114,2569500.0
3T17,-2379400.0,444149.0,452784.0,157600.0,357700.0,75903.0,92616.0,0.13069053708439898,0.162,0.16543076360979175,0.027732188527584946,0.05758129338691999,2737000.0
4T17,-2662300.0,372950.0,450378.0,122700.00000000004,414500.0,-44851.0,-49471.0,0.13471788871554863,0.121,0.14637870514820592,-0.014577158086323453,0.03987909516380657,3076800.0
1T18,-2632100.0,621866.0,641202.0,364800.0,612100.0,157185.0,230988.0,0.18867517415695703,0.192,0.19764564453486222,0.048451081930830406,0.11244682818568523,3244200.0
2T18,-2621300.0,496728.0,518813.0,240299.99999999994,582800.0,-19050.0,-36182.0,0.18189195093786087,0.155,0.16192160044942416,-0.0059455073187478545,0.07499765924908709,3204100.0
3T18,-3217200.0,685623.0,702762.0,428099.99999999994,644300.0,289131.0,293718.0,0.16685225948465623,0.178,0.18199197203159395,0.0748753075229833,0.11086365402045835,3861500.0
4T18,-3051100.0,367589.0,830293.0,109000.0,375900.0,401429.0,746792.0,0.10968777356288299,0.107,0.24227983659177124,0.11713714619200467,0.03180624452874234,3427000.0
1T19,-3036000.0,474034.0,487512.0,232892.99999999997,496000.0,76278.0,97234.0,0.1404303510758777,0.134,0.13802718006795017,0.021596262740656853,0.06593799546998867,3532000.0
2T19,-3087600.0,570021.0,575882.0,329099.99999999994,606500.0,171246.0,245343.0,0.16418516513264753,0.154,0.15589658906334597,0.04635787763941527,0.0890904168922577,3694000.0
3T19,-3374000.0,452903.0,441169.0,199300.00000000006,475800.0,-138980.0,-245494.0,0.12359083588757858,0.118,0.11459530365213777,-0.03610057665333264,0.05176892306093825,3849800.0
4T19,-3576600.0,447338.0,468447.0,191200.0,296300.0,268147.0,345589.0,0.0765059774329314,0.116,0.1209550982467918,0.06923674765679465,0.04936869012884402,3872900.0
