period,product,thousand_tons
1T17,Chapas Grossas,112.0
2T17,Chapas Grossas,126.0
3T17,Chapas Grossas,131.0
4T17,Chapas Grossas,112.0
1T18,Chapas Grossas,111.0
2T18,Chapas Grossas,98.0
3T18,Chapas Grossas,149.0
4T18,Chapas Grossas,113.0
1T19,Chapas Grossas,117.0
2T19,Chapas Grossas,112.0
3T19,Chapas Grossas,129.0
4T19,Chapas Grossas,96.0
1T20,Chapas Grossas,108.0
2T20,Chapas Grossas,80.0
3T20,Chapas Grossas,87.0
4T20,Chapas Grossas,90.0
1T21,Chapas Grossas,138.0
2T21,Chapas Grossas,124.452
3T21,Chapas Grossas,121.16300000000001
4T21,Chapas Grossas,100.911
1T22,Chapas Grossas,111.765448
2T22,Chapas Grossas,117.90556
3T22,Chapas Grossas,170.1594500000001
4T22,Chapas Grossas,186.463515000001
1T23,Chapas Grossas,142.779297000004
2T23,Chapas Grossas,104.0927359999992
3T23,Chapas Grossas,94.00107600000021
4T23,Chapas Grossas,177.971064000001
1T24,Chapas Grossas,156.10084997797435
2T24,Chapas Grossas,144.536307000001
3T24,Chapas Grossas,130.71955599999998
4T24,Chapas Grossas,127.12620430270059
1T25,Chapas Grossas,125.53771500000003
2T25,Chapas Grossas,142.82659700000002
3T25,Chapas Grossas,130.392201
4T25,Chapas Grossas,135.94773999999998
1T26,Chapas Grossas,111.633369
1T17,Laminados a Quente,266.0
2T17,Laminados a Quente,288.0
3T17,Laminados a Quente,299.0
4T17,Laminados a Quente,286.0
1T18,Laminados a Quente,338.0
2T18,Laminados a Quente,302.0
3T18,Laminados a Quente,320.0
4T18,Laminados a Quente,312.0
1T19,Laminados a Quente,259.0
2T19,Laminados a Quente,340.0
3T19,Laminados a Quente,325.0
4T19,Laminados a Quente,322.0
1T20,Laminados a Quente,278.0
2T20,Laminados a Quente,185.0
3T20,Laminados a Quente,307.0
4T20,Laminados a Quente,423.0
1T21,Laminados a Quente,438.0
2T21,Laminados a Quente,484.813
3T21,Laminados a Quente,405.188
4T21,Laminados a Quente,366.983
1T22,Laminados a Quente,405.919141
2T22,Laminados a Quente,424.016653
3T22,Laminados a Quente,374.661424
4T22,Laminados a Quente,319.267374
1T23,Laminados a Quente,382.819988
2T23,Laminados a Quente,350.015124999999
3T23,Laminados a Quente,350.846871
4T23,Laminados a Quente,317.6355176509448
1T24,Laminados a Quente,342.77959994983894
2T24,Laminados a Quente,361.4507769097588
3T24,Laminados a Quente,392.632378999999
4T24,Laminados a Quente,362.20829986936604
1T25,Laminados a Quente,392.6608892041798
2T25,Laminados a Quente,374.92619
3T25,Laminados a Quente,364.320626
4T25,Laminados a Quente,373.807545
1T26,Laminados a Quente,330.29589630000004
1T17,Laminados a Frio,296.0
2T17,Laminados a Frio,308.0
3T17,Laminados a Frio,311.0
4T17,Laminados a Frio,404.0
1T18,Laminados a Frio,368.0
2T18,Laminados a Frio,320.0
3T18,Laminados a Frio,329.0
4T18,Laminados a Frio,324.0
1T19,Laminados a Frio,353.0
2T19,Laminados a Frio,317.0
3T19,Laminados a Frio,277.0
4T19,Laminados a Frio,290.0
1T20,Laminados a Frio,338.0
2T20,Laminados a Frio,163.0
3T20,Laminados a Frio,240.0
4T20,Laminados a Frio,319.0
1T21,Laminados a Frio,373.0
2T21,Laminados a Frio,390.146
3T21,Laminados a Frio,356.584
4T21,Laminados a Frio,293.214
1T22,Laminados a Frio,281.33656299999996
2T22,Laminados a Frio,255.13350499999999
3T22,Laminados a Frio,231.97392
4T22,Laminados a Frio,198.13757
1T23,Laminados a Frio,217.174950000001
2T23,Laminados a Frio,218.93813999999904
3T23,Laminados a Frio,241.28584200000003
4T23,Laminados a Frio,225.88904994966876
1T24,Laminados a Frio,270.94408116464666
2T24,Laminados a Frio,247.09488321537307
3T24,Laminados a Frio,286.45125399999904
4T24,Laminados a Frio,268.3984658279334
1T25,Laminados a Frio,262.2611608302291
2T25,Laminados a Frio,264.907587
3T25,Laminados a Frio,295.406472
4T25,Laminados a Frio,269.751267
1T26,Laminados a Frio,259.3937184
1T17,Galvanizados,232.0
2T17,Galvanizados,257.0
3T17,Galvanizados,264.0
4T17,Galvanizados,276.0
1T18,Galvanizados,260.0
2T18,Galvanizados,253.0
3T18,Galvanizados,301.0
4T18,Galvanizados,271.0
1T19,Galvanizados,269.0
2T19,Galvanizados,270.0
3T19,Galvanizados,282.0
4T19,Galvanizados,286.0
1T20,Galvanizados,300.0
2T20,Galvanizados,154.0
3T20,Galvanizados,284.0
4T20,Galvanizados,288.0
1T21,Galvanizados,295.0
2T21,Galvanizados,302.787
3T21,Galvanizados,298.036
4T21,Galvanizados,262.973
1T22,Galvanizados,319.15868
2T22,Galvanizados,283.846565
3T22,Galvanizados,260.674012
4T22,Galvanizados,232.267485
1T23,Galvanizados,255.213719999999
2T23,Galvanizados,278.502243999999
3T23,Galvanizados,287.54269100000005
4T23,Galvanizados,269.64233439937937
1T24,Galvanizados,260.4495289075401
2T24,Galvanizados,282.34390687486814
3T24,Galvanizados,306.7928879999999
4T24,Galvanizados,289.66867800000017
1T25,Galvanizados,298.9971949655913
2T25,Galvanizados,285.961859
3T25,Galvanizados,301.561705
