,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"A capacidade total de geração de aço bruto é de 5 milhões de toneladas e se encontra em Ipatinga.
Capacidade atual de geração de produtos acabados, considerando as linhas de galvanização (EG e HDG) e de chapas grossas nas suas capacidades máximas. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Galvanizados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Chapas Grossas,Laminados a Quente,Laminados a Frio,Eletrogalvanizados,HDG,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Capacidade total de geração de produto para venda,,,,,,,,,1000,1800,2710,360,1030,6900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"*A partir de setembro de 2021, na Usina de Cubatão, foram baixados os ativos dos altos fornos e das sinterizações devido à sua obsolescência; Os ativos das aciarias não foram baixados e continuam temporariamente desligados;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Na mesma planta, devido à falta de visibilidade de demanda, também foram baixados o laminador de chapas grossas e o laminador de tiras a quente número 1, que já estavam desligados;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Produção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mil toneladas ,,,1T17,2T17,3T17,4T17,1T18,2T18,3T18,4T18,1T19,2T19,3T19,4T19,1T20,2T20,3T20,4T20,1T21,2T21,3T21,4T21,1T22,2T22,3T22,4T22,1T23,2T23,3T23,4T23,1T24,2T24,3T24,4T24,1T25,2T25,3T25,4T25,1T26,2T26,,Mil toneladas ,,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,Aço Bruto Total,,,737,769,760,747,715,813,845,714,800,833,834,797,771,533,696,760,780,751,924,723,677,671,660,650,717,416,352,585,700,817,873,797,773,789,746,784.6700000000001,729,803.1199999999999,,Aço Bruto Total,,6859.0,6055.0,5007.0,3143.0,3013.0,3087.0,3264.0,2760.0,3178.0,2658.0,2070.0,3187.0,3092.67
,Laminados Total,,,965,1000,983,1096,1072,1058,1066,1048,977,1100,1043,944,1075,676,801,1143,1292,1324,1213,1166,1091,1072,1037,1004,971,988,1040,1017,1023,1062,1150,1124,1058,1122,1123,1109.2549999999999,1011,980.0921800000001,,Laminados Total,,6306.0,5524.0,4848.0,3618.0,4044.0,4244.0,4064.0,3695.0,4995.0,4204.0,4016.0,4359.0,4412.255
,Placas Adquiridas Processadas,,,313,279,356,433,423,405,343,324,356,384,309,223,368,116,240.02845350291045,521,670,652,502.2239628464631,462.19381891770183,451,482.4670587320645,512,499,488.8792258129299,585.9594327428,674,538,511.71721427910006,372.03585811517246,387.4126147137939,401.73761101125797,408.53036681555074,432.88127138128715,434.5792921156988,343.38220410653054,402.37666799280004,312.91393899999997,,Placas Adquiridas Processadas,,,,,798.5937047311033,1381.0,1495.0,1272.0,1245.0,2285.7800948229724,1944.0311879749527,2286.0,1672.9032981193243,1619.3731344190671
