period,segment,share
1T17,Automotivo,0.318
2T17,Automotivo,0.339
3T17,Automotivo,0.367
4T17,Automotivo,0.398
1T18,Automotivo,0.351
2T18,Automotivo,0.424
3T18,Automotivo,0.367
4T18,Automotivo,0.372
1T19,Automotivo,0.359
2T19,Automotivo,0.349
3T19,Automotivo,0.375
4T19,Automotivo,0.324
1T20,Automotivo,0.367
2T20,Automotivo,0.228
3T20,Automotivo,0.272
4T20,Automotivo,0.33
1T21,Automotivo,0.355
2T21,Automotivo,0.315
3T21,Automotivo,0.307451065006822
4T21,Automotivo,0.3326236407045932
1T22,Automotivo,0.3811512487366402
2T22,Automotivo,0.35965550084273673
3T22,Automotivo,0.32737086921440417
4T22,Automotivo,0.31263416219786244
1T23,Automotivo,0.3454290399999781
2T23,Automotivo,0.3600626743813332
3T23,Automotivo,0.355
4T23,Automotivo,0.299
1T24,Automotivo,0.2993253222778476
2T24,Automotivo,0.3047139074129112
3T24,Automotivo,0.29529129060529813
4T24,Automotivo,0.32010290922092005
1T25,Automotivo,0.3192817877488855
2T25,Automotivo,0.31210460430361187
3T25,Automotivo,0.3309778454367419
4T25,Automotivo,0.2708222270244553
1T26,Automotivo,0.33008595134067376
2T26,Automotivo,0.3773356494579856
1T17,Grande Rede,0.371
2T17,Grande Rede,0.33
3T17,Grande Rede,0.334
4T17,Grande Rede,0.3
1T18,Grande Rede,0.34
2T18,Grande Rede,0.304
3T18,Grande Rede,0.342
4T18,Grande Rede,0.349
1T19,Grande Rede,0.386
2T19,Grande Rede,0.368
3T19,Grande Rede,0.313
4T19,Grande Rede,0.388
1T20,Grande Rede,0.317
2T20,Grande Rede,0.386
3T20,Grande Rede,0.352
4T20,Grande Rede,0.331
1T21,Grande Rede,0.329
2T21,Grande Rede,0.349
3T21,Grande Rede,0.357
4T21,Grande Rede,0.25425883466341687
1T22,Grande Rede,0.29351256262266656
2T22,Grande Rede,0.2893207884228408
3T22,Grande Rede,0.25260800355877705
4T22,Grande Rede,0.26215011796059945
1T23,Grande Rede,0.25789340416043904
2T23,Grande Rede,0.29090840814967384
3T23,Grande Rede,0.286
4T23,Grande Rede,0.311
1T24,Grande Rede,0.3328741829987985
2T24,Grande Rede,0.30545418578682615
3T24,Grande Rede,0.3419902161406148
4T24,Grande Rede,0.33526908558864466
1T25,Grande Rede,0.3317031981765236
2T25,Grande Rede,0.3333586898677216
3T25,Grande Rede,0.3283804227244959
4T25,Grande Rede,0.3469070756011416
1T26,Grande Rede,0.31560699693517535
2T26,Grande Rede,0.2979804363499694
1T17,Industrial,0.311
2T17,Industrial,0.331
3T17,Industrial,0.299
4T17,Industrial,0.302
1T18,Industrial,0.309
2T18,Industrial,0.272
3T18,Industrial,0.291
4T18,Industrial,0.28
1T19,Industrial,0.254
2T19,Industrial,0.283
3T19,Industrial,0.312
4T19,Industrial,0.288
1T20,Industrial,0.316
2T20,Industrial,0.386
3T20,Industrial,0.376
4T20,Industrial,0.339
1T21,Industrial,0.315
2T21,Industrial,0.336
3T21,Industrial,0.335
4T21,Industrial,0.41311752463198986
1T22,Industrial,0.32533618864069325
2T22,Industrial,0.35102371073442246
3T22,Industrial,0.42002112722681884
4T22,Industrial,0.42521571984153816
1T23,Industrial,0.39667755583958286
2T23,Industrial,0.349028917468993
3T23,Industrial,0.359
4T23,Industrial,0.39
1T24,Industrial,0.36780049472335397
2T24,Industrial,0.389831906800263
3T24,Industrial,0.3627184932540873
4T24,Industrial,0.34462800519043524
1T25,Industrial,0.34901501407459073
2T25,Industrial,0.35453670582866664
3T25,Industrial,0.34064173183876195
4T25,Industrial,0.3822706973744032
1T26,Industrial,0.35430705172415083
2T26,Industrial,0.3246839141920452
