ano,fonte,geracao_gwh,participacao_geracao_pct,crescimento_anual_pct,renovavel,variacao_anual_pct
2011,Eólica,2704.5,0.6054442353289284,,true,
2012,Eólica,5050.046375,1.157120383751609,86.72754205953042,true,86.73
2013,Eólica,6578.409847,1.1393868829709946,30.264345285344028,true,30.26
2014,Eólica,12240.349685,2.05276348745179,86.0685176157283,true,86.07
2015,Eólica,21625.70216,3.686324024888845,76.67552575316807,true,76.68
2016,Eólica,33488.871996,5.730583928591945,54.856807645962704,true,54.86
2017,Eólica,42373.258248,7.1146892706441385,26.529368481151504,true,26.53
2018,Eólica,48475.141215,7.983349063757938,14.400315716311507,true,14.4
2019,Eólica,55985.62168,8.844038635628248,15.49346794409332,true,15.49
2020,Eólica,57050.706317,9.073473037317251,1.9024253103551603,true,1.9
2021,Eólica,72285.974869,11.012550575378564,26.704785156113296,true,26.7
2022,Eólica,81631.568663,12.05496193949752,12.92864046025044,true,12.93
2023,Eólica,95800.719249,13.528896574441587,17.357440041970264,true,17.36
2024,Eólica,107654.031769,14.328357079017001,12.372884684917151,true,12.37
2025,Eólica,116488.27131671723,15.013388949211496,8.206139057265794,true,8.21
2011,Hidráulica,428332.919871,95.8889617812922,,true,
2012,Hidráulica,415342.175458,95.16762060510564,-3.0328615453868,true,-3.03
2013,Hidráulica,390649.181802,67.66081225412438,-5.945217007825154,true,-5.95
2014,Hidráulica,373439.060474,62.627464725843595,-4.405518334535485,true,-4.41
2015,Hidráulica,359742.80819400004,61.32187277966848,-3.6676003475950125,true,-3.67
2016,Hidráulica,380910.942378,65.18111821971499,5.884241102767107,true,5.88
2017,Hidráulica,370906.456375,62.277112846482716,-2.626463272633417,true,-2.63
2018,Hidráulica,388971.075876,64.05947041290291,4.870397694758921,true,4.87
2019,Hidráulica,397877.05663,62.85256741773077,2.289625451954991,true,2.29
2020,Hidráulica,396381.195392,63.041359539087594,-0.3759606675162064,true,-0.38
2021,Hidráulica,362818.451097,55.27429836323242,-8.467289741585304,true,-8.47
2022,Hidráulica,427113.549289,63.07409823004338,17.7210111551936,true,17.72
2023,Hidráulica,425996.087137,60.15880725293654,-0.2616311643262481,true,-0.26
2024,Hidráulica,421799.21623200004,56.13992979649777,-0.9851900127078483,true,-0.99
2025,Hidráulica,401415.44982235896,51.735734510302464,-4.832575696022512,true,-4.83
2011,Nuclear,15659.376,3.5055939833788776,,false,
2012,Nuclear,16038.4,3.6748889385717383,2.4204285023873284,false,2.42
2013,Nuclear,15449.69,2.6759010978915896,-3.6706279928172325,false,-3.67
2014,Nuclear,15378.46248,2.5790395768494183,-0.4610287973415672,false,-0.46
2015,Nuclear,14734.15264,2.5115883156698113,-4.189689579422762,false,-4.19
2016,Nuclear,15864.343667,2.7146914015685075,7.6705532690884315,false,7.67
2017,Nuclear,15739.196438,2.64269250598128,-0.7888585347550325,false,-0.79
2018,Nuclear,15673.887022,2.5813253586523133,-0.41494758806314147,false,-0.41
2019,Nuclear,16128.824302,2.5478674880037135,2.9025172847134018,false,2.9
2020,Nuclear,14052.59817,2.2349569151916784,-12.872767990550592,false,-12.87
2021,Nuclear,14704.587598,2.240199636326764,4.639636173415185,false,4.64
2022,Nuclear,14559.013213,2.1500058498680636,-0.9899929802846041,false,-0.99
2023,Nuclear,14503.722891,2.048203484012445,-0.3797669607898402,false,-0.38
2024,Nuclear,15766.83702,2.0985082222835807,8.708895905504388,false,8.71
2025,Nuclear,15834.116232,2.0407526266030476,0.42671343602180833,false,0.43
2011,Solar fotovoltaica,0.0,0.0,,true,
2012,Solar fotovoltaica,1.615116,0.000370072571011462,inf,true,inf
2013,Solar fotovoltaica,4.793593,0.0008302548964765921,196.79558619938135,true,196.8
2014,Solar fotovoltaica,16.081802,0.002696992880724974,235.4853447090731,true,235.49
2015,Solar fotovoltaica,58.91741,0.010043080329153402,266.36074738390636,true,266.36
2016,Solar fotovoltaica,85.260589,0.014589710908269528,44.71204521719472,true,44.71
2017,Solar fotovoltaica,831.8134019999999,0.13966577344017983,875.6130138861695,true,875.61
2018,Solar fotovoltaica,3461.434833,0.5700621357806118,316.1311689229071,true,316.13
2019,Solar fotovoltaica,6654.579081,1.0512226662874047,92.2491510618019,true,92.25
2020,Solar fotovoltaica,10748.341462,1.7094404740485323,61.51797628626004,true,61.52
2021,Solar fotovoltaica,16752.28087,2.5521595394978727,55.8592172497171,true,55.86
2022,Solar fotovoltaica,30126.461567000002,4.448932606712608,79.83498367049529,true,79.83
2023,Solar fotovoltaica,50632.887889000005,7.150333618426642,68.06782229102663,true,68.07
2024,Solar fotovoltaica,70664.70172900001,9.405212815697848,39.562850698768685,true,39.56
2025,Solar fotovoltaica,88140.51517683,11.359837531932904,24.73061234284968,true,24.73
2013,Térmica,164681.939152,28.523069510116567,,false,
2014,Térmica,195212.454579,32.73803521697447,18.539079381874778,false,18.54
2015,Térmica,190485.22584499998,32.47017179944371,-2.421581524700811,false,-2.42
2016,Térmica,154039.055796,26.35901673921628,-19.133331673006836,false,-19.13
2017,Térmica,165723.539375,27.82583960345168,7.585403272319602,false,7.59
2018,Térmica,150621.538708,24.80579302890623,-9.112767398014054,false,-9.11
2019,Térmica,156386.22387000002,24.704303792349865,3.827264819791565,false,3.83
2020,Térmica,150530.875511,23.940770034354948,-3.744158669543318,false,-3.74
2021,Térmica,189835.00880399998,28.920791885564366,26.110346571476526,false,26.11
2022,Térmica,123730.97005599999,18.272001373878428,-34.82183774450729,false,-34.82
2023,Térmica,121185.820215,17.113759070182777,-2.0570030606307133,false,-2.06
2024,Térmica,135450.702555,18.027992086503797,11.77108205786137,false,11.77
2025,Térmica,154017.560831699,19.850286381950085,13.707465466382418,false,13.71
