ano,hydraulic_generation_gwh,total_generation_gwh,hydraulic_share_pct
2011,428332.92,446696.8,95.89
2012,415342.18,436432.24,95.17
2013,390649.18,577364.01,67.66
2014,373439.06,596286.41,62.63
2015,359742.81,586646.81,61.32
2016,380910.94,584388.47,65.18
2017,370906.46,595574.26,62.28
2018,388971.08,607203.08,64.06
2019,397877.06,633032.31,62.85
2020,396381.2,628763.72,63.04
2021,362818.45,656396.3,55.27
2022,427113.55,677161.56,63.07
2023,425996.09,708119.24,60.16
2024,421799.22,751335.49,56.14
2025,401415.45,775895.91,51.74
