ano,renewable_generation_gwh,total_generation_gwh,renewable_share_pct
2011,431037.42,446696.8,96.49
2012,420393.84,436432.24,96.33
2013,397232.39,577364.01,68.8
2014,385695.49,596286.41,64.68
2015,381427.43,586646.81,65.02
2016,414485.07,584388.47,70.93
2017,414111.53,595574.26,69.53
2018,440907.65,607203.08,72.61
2019,460517.26,633032.31,72.75
2020,464180.24,628763.72,73.82
2021,451856.71,656396.3,68.84
2022,538871.58,677161.56,79.58
2023,572429.69,708119.24,80.84
2024,600117.95,751335.49,79.87
2025,606044.24,775895.91,78.11
