estado,geracao_gwh
Paraná,89354.16
São Paulo,75127.95
Minas Gerais,71993.17
Pará,64944.29
Bahia,63445.6
Rio de Janeiro,59197.66
Rio Grande do Norte,36909.52
Rondônia,35702.64
Rio Grande do Sul,34349.62
Goiás,30495.18
Mato Grosso do Sul,29016.42
Santa Catarina,27508.17
Mato Grosso,26040.35
Piauí,22289.04
Maranhão,16746.76
Ceará,15124.0
Pernambuco,12114.33
Espírito Santo,11997.17
Amazonas,11273.37
Alagoas,11262.48
Tocantins ,9941.89
Paraíba,8134.65
Sergipe,7412.15
Amapá,3513.59
Roraima,1062.97
Distrito Federal,735.09
Acre,203.67
