ano,wind_solar_generation_gwh,total_generation_gwh,wind_solar_share_pct
2011,2704.5,446696.8,0.61
2012,5051.66,436432.24,1.16
2013,6583.2,577364.01,1.14
2014,12256.43,596286.41,2.06
2015,21684.62,586646.81,3.7
2016,33574.13,584388.47,5.75
2017,43205.07,595574.26,7.25
2018,51936.58,607203.08,8.55
2019,62640.2,633032.31,9.9
2020,67799.05,628763.72,10.78
2021,89038.26,656396.3,13.56
2022,111758.03,677161.56,16.5
2023,146433.61,708119.24,20.68
2024,178318.73,751335.49,23.73
2025,204628.79,775895.91,26.37
